"id","gender","partyAffiliation","partyMix","householdHead","householdRank","income","homeOwner","mailOrder","compOwner","educationLevel","donateReligion","donatePolitics","donateArts","donateAnimals","donateChild","donateHealth","donatePoverty","donateEnvironment","fec_01_02","fec_99_00","fec_97_98","fec_95_96","fec_93_94","fec_03_04","fec_05_06","dontPhone","ageD","cnt","gen90","pri90","oth90","gen91","pri91","oth91","gen92","ppp92","oth92","gen93","pri93","oth93","gen94","pri94","oth94","gen95","pri95","oth95","gen96","ppp96","oth96","gen97","pri97","oth97","gen98","pri98","oth98","gen99","pri99","oth99","gen00","ppp00","oth00","gen01","pri01","oth01","gen02","pri02","oth02","pri03","gen03","oth03","ppp04","oth04","gen04","cntEligible","percentAttended","ageY","pProb","pNodes","ageC","incC","eduC","pSegs"
"852","M","U","noneR","M","2","I","A","1","1","D","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","N",16541,7,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1",7,0.159090909090909,45.2533377106588,0.954586213289664,15,"(36.7,45.8]","> 75k","secondary","13"
"853","M","U","noneR","M","3+","I","A","1","0","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",7975,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1",2,0.181818181818182,21.8182315605165,0.803979773300856,12,"(19.2,36.7]","> 75k","postsec","10"
"854","F","U","noneRorD","M","2","D","A","1","1","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",15701,20,"1","0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","1","0","0","1",20,0.454545454545455,42.9552418472313,0.985051026237355,15,"(36.7,45.8]","35k-75k","secondary","13"
"855","F","U","noneRorD","H","1","D","1","1","1","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",13112,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,35.8721820967389,0.295295671684422,14,"(19.2,36.7]","35k-75k","secondary","12"
"856","M","U","noneRorD","H","1","F","B","1","1","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",7045,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",0,0,19.2739111402933,0.141720561210756,14,"(19.2,36.7]","> 75k","postsec","12"
"857","M","U","noneR","M","2","L","A","1","0","D","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","Y",17783,19,"0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","1","0","1","0","1",14,0.4375,48.6512365944408,0.996829905141297,15,"(45.8,54.2]","> 75k","secondary","13"
"858","M","D","allD","H","1","C","A","1","0","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",13882,15,"1","0","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","1",15,0.340909090909091,37.9787699715474,0.942979266918819,8,"(36.7,45.8]","< 35k","secondary","6"
"859","F","U","noneRorD","M","2","D","A","1","1","C","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","N",17197,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",1,0.0227272727272727,47.0480411468593,0.795611823099782,15,"(45.8,54.2]","35k-75k","secondary","13"
"860","M","U","noneRorD","H","1","E","A","1","0","B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",19884,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,0.1,54.3992120814183,0.369498187170357,14,"(54.2,108]","35k-75k","primary","12"
"861","F","R","noneD","M","3+","I","A","1","1","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",8123,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1",2,0.142857142857143,22.2231341650252,0.650018549701133,12,"(19.2,36.7]","> 75k","postsec","10"
"862","M","U","noneRorD","H","1","D","1","0","0","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",19343,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",2,0.0487804878048781,52.9191289122346,0.706997070928811,14,"(45.8,54.2]","35k-75k","secondary","12"
"863","F","D","unknown","M","2","B","A","1","0","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",17220,21,"0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","0","0",21,0.477272727272727,47.1109652002626,2.90070146547075e-12,4,"(45.8,54.2]","< 35k","secondary","2"
"864","F","R","allR","M","2","K","B","1","0","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",16478,18,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","1","0","1",18,0.409090909090909,45.0809805209017,0.924658238332028,9,"(36.7,45.8]","> 75k","postsec","7"
"865","F","U","noneRorD","H","1","E","A","1","0","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",14899,8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1",8,0.195121951219512,40.7611074633399,0.902641718153012,14,"(36.7,45.8]","35k-75k","secondary","12"
